1567123755.0,"4.361316114668139,52.01041950383411",1,Point,0,"driving,stationary",0.30000001192092896,charging,"10,4",Vlinderstorm,Z
1567123762.0,"4.361365400258788,52.01037751049922",1,Point,1,driving,0.30000001192092896,charging,"10,4",Vlinderstorm,Z
1567123964.0,"4.36137235723842,52.01038849079237",2,Point,0,"driving,stationary",0.3400000035762787,charging,"10,4",Vlinderstorm,Z
1567124774.0,"4.361190889034757,52.01038945471124",0,Point,0,walking,0.4000000059604645,unplugged,"10,4",Vlinderstorm,Z
1567125103.0,"4.361441424120554,52.01032076501475",1,Point,0,walking,0.3499999940395355,unplugged,"10,4",Vlinderstorm,Z
1567135177.0,"4.361431617293843,52.010237826082864",3,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135183.0,"4.361401861537584,52.01015878473596",4,Point,2,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135186.0,"4.3613169528584566,52.01013317802177",2,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135189.0,"4.36124822125245,52.01009063986317",2,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135193.0,"4.361184351150283,52.01003938452528",2,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135196.0,"4.361122492704877,52.01000677892194",2,Point,2,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135199.0,"4.36104152352024,52.00999454134331",1,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135202.0,"4.36097069643844,52.01000011530892",1,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135206.0,"4.3608878832351055,52.01000262987987",1,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135209.0,"4.360822336752303,52.01005304702745",1,Point,1,walking,1.0,unplugged,"10,4",Vlinderstorm,Z
1567135212.0,"4.360751761127599,52.010108619045475",1,Point,1,walking,1.0,unplugged,"10,3",Vlinderstorm,Z
1567135217.0,"4.36071613803912,52.01017638673262",1,Point,1,walking,1.0,unplugged,"10,3",,Z
1567135224.0,"4.36069074087251,52.010261588778356",1,Point,1,walking,1.0,unplugged,"10,3",,Z
1567135228.0,"4.360694596547969,52.01034846720473",0,Point,1,walking,1.0,unplugged,"10,3",,Z
1567135232.0,"4.360672887418755,52.01042566453294",0,Point,1,walking,1.0,unplugged,"10,4",,Z
1567135237.0,"4.360617566857822,52.01048940890656",0,Point,1,walking,1.0,unplugged,"10,4",,Z
1567135249.0,"4.360444815833457,52.01069606472925",1,Point,2,walking,1.0,unplugged,"10,3",,Z
1567135258.0,"4.360370719809421,52.01073885434494",1,Point,1,walking,1.0,unplugged,"10,3",,Z
1567135264.0,"4.360295701776035,52.01078319461272",1,Point,1,walking,1.0,unplugged,"10,3",,Z
1567135270.0,"4.3602311611216145,52.01083004945145",0,Point,1,walking,1.0,unplugged,"10,3",,Z
1567135276.0,"4.36018941924382,52.010894129101196",0,Point,1,walking,1.0,unplugged,"10,3",,Z
